EM4_COURSE_ID,EM4_ACTIVITY_ID
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,82OM8G67BMH5ZPRQ6Z4546TYW4
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,GNOLZPNCKBLZ12K5RGDSYW2V88
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,P32FP8169HD66YGSZHEHJK1EK1
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,KZMME5PTLLFZ6TC2JWC1V8XK5Y
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,ZKW6S3J892QNRVYSZZW1P1WC9M
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,BZ1BG2DT57X3G98XHDJV5JLTX8
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,3NB3G7VV31LL6JW5OLRK5YOCVQ
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,2EW8LZS8SN1XGNYY6RVOX96K98
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,BXO8LYTZFM3OLR78YMYNRDJPY1
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,Z3YFH9X6FYO3SYZE49DST48G3M
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,HT75MWDL2QMGVS7M7R8EB59JPY
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,43CV9BJRCXV57P3SY56W24YOJE
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,6EXDJ8DDKPFWM7CY7QC1LJWP1E
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,SGT6XJW1884ODZSGMVBJPKTWGM
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,71FDHE8OJTFFJ632Z65KZ9SCX4
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,6JG2QK5RRJ8KE4MMQTTDB9SY2M
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,1ETX7X5EBKFF47LHSSW847QWM1
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,TCZG1RVJSP1PRDHH2CCY986ODM
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,QBGTCKCJ5XOMLOWJVFRNDBZ8YY
N1O2JCV8SZ6QZJ3OVTYLEK8M4Y,GJLNGKLH4W1FXCFN6B9JN9J9R1
WKFLPQPK563VPDFY6V1FMBXSYE,ZDP4TRKVPMK6OYHZS2LXOVX7RM
WKFLPQPK563VPDFY6V1FMBXSYE,KMP8PJXX5Z4B3NC984PFLO7W4M
WKFLPQPK563VPDFY6V1FMBXSYE,JJ55BV6W82455YREFTGPQEGJ3Q
WKFLPQPK563VPDFY6V1FMBXSYE,5JJSHBPCW3MYGTZ5C9262MNE1E
WKFLPQPK563VPDFY6V1FMBXSYE,BFNNNPBKDX5CCYG5WCGFPJLBTY
WKFLPQPK563VPDFY6V1FMBXSYE,7X5ZYJ5CLK84VGNNZBJYLVN2XQ
WKFLPQPK563VPDFY6V1FMBXSYE,H1GE8VYX7F8VB5B6VER2EOPDW8
WKFLPQPK563VPDFY6V1FMBXSYE,XK74FHWQM1ZKQ53WGZEZLHTYEO
WKFLPQPK563VPDFY6V1FMBXSYE,GRFLOYXG5LTY1Z7CMZM62CCKP1
WKFLPQPK563VPDFY6V1FMBXSYE,F5816REKGQXYWYZG866P2EZ3L4
WKFLPQPK563VPDFY6V1FMBXSYE,HG9BE32RSNG985TQM3P7FDY5E8
WKFLPQPK563VPDFY6V1FMBXSYE,2Q47PHPP1LDKERYMPTD8J9HWQM
WKFLPQPK563VPDFY6V1FMBXSYE,9F192VWNTP2SQWH54SJM4RQJY8
